question,answer,question2
How many days of medical leave do I have?,All staff are entitled to 14 days of medical leave.,how many days of medical leave do i have 
How many days of medical leave can I apply?,All staff are entitled to 14 days of medical leave.,how many days of medical leave can i apply 
Is there a limit to the number of medical leave I can apply?,All staff are entitled to 14 days of medical leave.,is there a limit to the number of medical leave i can apply 
Can I claim medical expenses from a TCM doctor? ,Please note that Traditional Chinese Medicine (TCM) treatments are NOT claimable. ,can i claim medical expenses from a tcm doctor  
I visited TCM doctor recently. Can medical fees be reimbursed?,Please note that Traditional Chinese Medicine (TCM) treatments are NOT claimable. ,i visited tcm doctor recently  can medical fees be reimbursed 
Hi,Hi! What's about you?,hi
Hello,Hello! How can I assist you today?,hello
Hey,Hey there! How can I help you?,hey
Good morning,Good morning! How can I assist you?,good morning
Good afternoon,Good afternoon! How may I assist you?,good afternoon
Good evening,Good evening! What can I do for you?,good evening
How are you?,I'm doing well thank you! How about you?,how are you 
What's up?,Not much! just here to assist!,what s up 
Greetings,Greetings! How may I help you today?,greetings
Yo,Yo! What brings you here?,yo
What can I do for you?,You can ask me anything you need help with,what can i do for you 
How can I assist you?,You can tell me what you need help with,how can i assist you 
Good to see you, How can I assist you today?,good to see you
Welcome, I be of service?,welcome
How's it going?, How about you?,how s it going 
What brings you here?,I'm here to help with any questions!,what brings you here 
How can I help you today?,You can ask me anything you need assistance with,how can i help you today 
Nice to meet you,Pleasure's mine! How can I assist you?,nice to meet you
Hey there!,Hey! How can I be of service today?,hey there 
Long time no see,Indeed! What can I assist you with today?,long time no see
Good day,Good day to you too! How can I assist?,good day
In what ways has this product enhanced your overall satisfaction or enjoyment?,I'm a HUGE fan of low-end turtle beach headsets and I bought these to replace an aging pair of Ear Force PLas that had served me faithfully for a long time (and still function very well albeit thanks to a ton of tape work on damage I caused myself stupidly) Considering I paid only ten dollars more for these the difference is staggering.,in what ways has this product enhanced your overall satisfaction or enjoyment
